gencode_id,expression
ENSG00000201148,0.0
ENSG00000142698,0.6832877
ENSG00000207941,0.0
ENSG00000163866,33.85808
ENSG00000189280,0.015707765
ENSG00000189433,0.007853882
ENSG00000188910,0.21990868
ENSG00000187513,32.89991
ENSG00000116544,0.31415528
ENSG00000243749,0.07853882
ENSG00000163867,6.518722
ENSG00000233940,0.0
ENSG00000197056,5.5369864
ENSG00000228348,0.0
ENSG00000116560,161.09097
ENSG00000146463,13.634338
ENSG00000240374,0.007853882
ENSG00000272015,0.36913243
ENSG00000229994,7.0763474
ENSG00000227409,0.03926941
ENSG00000142687,17.294247
ENSG00000020129,4.845845
ENSG00000116819,0.17278539
ENSG00000126067,120.64348
ENSG00000142686,11.058265
ENSG00000092853,1.8770777
ENSG00000134698,5.0971694
ENSG00000092847,7.618265
ENSG00000126070,26.106304
ENSG00000092850,0.27488586
ENSG00000171812,3.2122376
ENSG00000054116,64.4411
ENSG00000116871,55.636898
ENSG00000264592,0.03926941
ENSG00000054118,65.31288
ENSG00000231849,0.18849316
ENSG00000214193,1.8456621
ENSG00000142694,54.191784
ENSG00000196182,9.181188
ENSG00000181817,41.7748
ENSG00000222821,0.007853882
ENSG00000116885,3.8012788
ENSG00000201448,0.0
ENSG00000116898,54.51379
ENSG00000119535,0.11780823
ENSG00000230214,0.0
ENSG00000163873,1.2094978
ENSG00000264698,0.0
ENSG00000207328,0.0
ENSG00000252368,0.0
ENSG00000230451,0.007853882
ENSG00000163874,67.95963
ENSG00000283724,0.0
ENSG00000163875,67.63763
ENSG00000263675,0.0
ENSG00000163877,7.3747945
ENSG00000232273,0.23561646
ENSG00000163879,10.249316
ENSG00000134697,22.407125
ENSG00000169218,2.9530594
ENSG00000134690,0.9503197
ENSG00000183317,0.13351598
ENSG00000214141,0.0
ENSG00000185090,0.3377169
ENSG00000196449,9.471782
ENSG00000197982,63.60859
ENSG00000188786,9.039818
ENSG00000204084,5.0264845
ENSG00000199633,0.0
ENSG00000222282,0.0
ENSG00000183431,30.920732
ENSG00000212541,0.10995434
ENSG00000183386,30.740091
ENSG00000183520,57.7653
ENSG00000185668,1.9713243
ENSG00000265596,0.0
ENSG00000237290,0.0
ENSG00000200796,0.0
ENSG00000238063,0.015707765
ENSG00000116954,11.945754
ENSG00000214114,12.346301
ENSG00000131233,0.0
ENSG00000158315,2.395434
ENSG00000199963,0.015707765
ENSG00000235549,0.08639269
ENSG00000174574,40.745937
ENSG00000168653,253.89241
ENSG00000127603,70.1116
ENSG00000206654,0.0
ENSG00000222378,0.015707765
ENSG00000217897,0.07853882
ENSG00000183682,0.29059362
ENSG00000237624,0.43196347
ENSG00000243970,0.2120548
ENSG00000090621,69.813156
ENSG00000201457,0.023561645
ENSG00000163909,6.416621
ENSG00000116981,0.023561645
ENSG00000116983,0.07068493
ENSG00000084072,33.190502
ENSG00000252413,0.0
ENSG00000116985,2.521096
ENSG00000198754,1.7200001
ENSG00000043514,5.4113245
ENSG00000116990,0.18063928
ENSG00000168389,1.327306
ENSG00000131236,137.6707
ENSG00000131238,64.40183
ENSG00000117000,14.733881
ENSG00000207508,0.44767126
ENSG00000188800,0.06283106
ENSG00000084073,25.108858
ENSG00000049089,1.2173516
ENSG00000084070,9.071233
ENSG00000187801,0.86392695
ENSG00000187815,1.5864841
ENSG00000164002,2.8745208
ENSG00000117010,5.042192
ENSG00000233910,0.0
ENSG00000117016,0.27488586
ENSG00000272145,1.3822831
