	0
2311	3178
2312	3179
2313	3180
2314	3181
2315	3182
2316	3183
2317	3184
2318	3186
2319	3187
2320	3188
2321	3189
2322	3190
2323	3191
2324	3192
2325	3193
2326	3194
2327	3195
2328	3196
2329	3197
2330	3198
2331	3199
2332	3200
2333	3201
2334	3202
2335	3203
2336	3204
2337	3205
2338	3206
2339	3207
2340	3208
2341	3209
2342	3210
2343	3211
2344	3212
2345	3213
2346	3214
2347	3215
2348	3216
2349	3217
2350	3218
2351	3219
2352	3220
2353	3221
2354	3222
2355	3223
2356	3224
2357	3225
2358	3226
2359	3227
2360	3228
2361	3230
2362	3231
2363	3232
2364	3233
2365	3234
2366	3235
2367	3236
2368	3237
2369	3238
2370	3239
2371	3240
2372	3241
2373	3242
2374	3244
2375	3246
2376	3248
2377	3250
2378	3251
2379	3253
2380	3254
2381	3256
2382	3258
2383	3260
2384	3261
2385	3262
2386	3265
2387	3266
2388	3267
2389	3268
2390	3270
2391	3274
2392	3275
2393	3276
2394	3277
2395	3281
2396	3282
2397	3284
2398	3285
2399	3289
2400	3293
2401	3294
2402	3295
2403	3296
2404	3297
2405	3298
2406	3300
2407	3301
2408	3302
2409	3304
2410	3307
2411	3310
2412	3313
2413	3316
2414	3317
2415	3322
2416	3323
2417	3326
2418	3328
2419	3329
2420	3331
2421	3332
2422	3333
2423	3334
2424	3336
2425	3337
2426	3338
2427	3339
2428	3340
2429	3341
2430	3342
2431	3343
2432	3344
2433	3345
2434	3346
2435	3347
2436	3348
2437	3349
2438	3350
2439	3351
2440	3352
2441	3353
2442	3354
2443	3355
2444	3356
2445	3357
2446	3358
2447	3359
2448	3360
2449	3361
2450	3362
2451	3363
2452	3364
2453	3365
2454	3366
2455	3367
2456	3368
2457	3369
2458	3370
2459	3371
2460	3372
2461	3373
2462	3374
2463	3375
2464	3376
2465	3377
2466	3378
2467	3379
2468	3380
2469	3381
2470	3382
2471	3383
2472	3384
2473	3385
2474	3386
2475	3387
2476	3388
2477	3389
2478	3390
2479	3391
2480	3392
2481	3393
2482	3394
2483	3398
2484	3404
2485	3406
2486	3407
2487	3408
2488	3409
2489	3410
2490	3411
2491	3412
2492	3413
2493	3414
2494	3415
2495	3416
2496	3418
2497	3423
2498	3424
2499	3426
2500	3427
2501	3429
2502	3430
2503	3434
2504	3437
2505	3438
2506	3439
2507	3440
2508	3449
2509	3451
2510	3453
2511	3454
2512	3455
2513	3458
2514	3459
2515	3460
2516	3461
2517	3462
2518	3463
2519	3464
2520	3465
2521	3467
2522	3468
2523	3469
2524	3470
2525	3473
2526	3474
2527	3475
2528	3478
2529	3479
2530	3480
2531	3482
2532	3483
2533	3487
2534	3488
2535	3489
2536	3492
2537	3493
2538	3498
2539	3499
2540	3502
2541	3504
2542	3507
2543	3509
2544	3517
2545	3518
2546	3519
2547	3520
2548	3521
2549	3523
2550	3526
2551	3527
2552	3528
2553	3530
2554	3531
2555	3533
2556	3534
2557	3535
2558	3536
2559	3537
2560	3538
2561	3539
2562	3541
2563	3544
2564	3545
2565	3546
2566	3547
2567	3550
2568	3552
2569	3553
2570	3554
2571	3555
2572	3556
2573	3557
2574	3559
2575	3560
2576	3561
2577	3562
2578	3563
2579	3564
2580	3565
2581	3567
2582	3568
2583	3569
2584	3570
2585	3573
2586	3574
2587	3575
2588	3577
2589	3578
2590	3579
2591	3583
2592	3584
2593	3586
2594	3588
2595	3592
2596	3595
2597	3596
2598	3598
2599	3601
2600	3602
2601	3605
2602	3606
2603	3607
2604	3608
2605	3609
2606	3610
2607	3611
2608	3612
2609	3613
2610	3614
2611	3615
2612	3616
